"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""7310230506""","=""hong_yi.1223""","=""18046288094001765""","=""@xuyan_ggtnt @l.m940826 @xiou_chi""","=""https://www.instagram.com/hong_yi.1223""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/117590476_173622137623481_6257333615681427326_n.jpg""","=""10/16/2024, 1:13:24 PM"""
"=""7310230506""","=""hong_yi.1223""","=""18030396392518433""","=""@jiangw__ @yaya._xu @yi._.nnn9""","=""https://www.instagram.com/hong_yi.1223""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/117590476_173622137623481_6257333615681427326_n.jpg""","=""10/16/2024, 1:14:19 PM"""
"=""1831190968""","=""cecilia_0905_""","=""18040926911113727""","=""@jia__in___wu @cafeholic_444 @yu_.wen._ 🌞""","=""https://www.instagram.com/cecilia_0905_""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/449217948_743687194408401_704425197553414863_n.jpg""","=""10/16/2024, 1:42:22 PM"""
"=""1831190968""","=""cecilia_0905_""","=""17846197260326332""","=""@ros_vic0407 @chi.cmc @leo.__.0819 🤤""","=""https://www.instagram.com/cecilia_0905_""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/449217948_743687194408401_704425197553414863_n.jpg""","=""10/16/2024, 1:42:38 PM"""
"=""1831190968""","=""cecilia_0905_""","=""17857983135222535""","=""@a.duo.in.trouble @tt.yyan___ @bdbdbdbdbd_0203 看展！""","=""https://www.instagram.com/cecilia_0905_""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/449217948_743687194408401_704425197553414863_n.jpg""","=""10/16/2024, 1:43:31 PM"""
"=""2101605636""","=""sixsyuan""","=""17857085724276678""","=""@yong_135 @wss__333 @wawa0806 借我標一下""","=""https://www.instagram.com/sixsyuan""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/160840473_2841330846147438_729973019212710351_n.jpg""","=""10/16/2024, 1:56:05 PM"""
"=""43742489922""","=""_peggy._.330""","=""17846157873310154""","=""@early.__.morning @celeryfoo.owo @ah_qin.25016""","=""https://www.instagram.com/_peggy._.330""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/463409126_1244779013209496_5703076300153980634_n.jpg""","=""10/16/2024, 2:49:40 PM"""
"=""43742489922""","=""_peggy._.330""","=""18007861538469966""","=""@judas_0594u @judas_0594u @winnie63659497""","=""https://www.instagram.com/_peggy._.330""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/463409126_1244779013209496_5703076300153980634_n.jpg""","=""10/16/2024, 2:49:59 PM"""
"=""31243816495""","=""zxz_229""","=""18470016748036164""","=""@jokercat1990 @dameow_mia @hsieh.fuyu""","=""https://www.instagram.com/zxz_229""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/95657235_173795337216778_4678329247842959360_n.jpg""","=""10/16/2024, 4:54:18 PM"""
"=""1642478386""","=""hsu.kristin.0426""","=""18037982599979607""","=""@456123qp @sakanaaa_art @anna_holmes2000""","=""https://www.instagram.com/hsu.kristin.0426""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/320216398_550491316930276_1999472106286684437_n.jpg""","=""10/16/2024, 5:06:00 PM"""
"=""48977203562""","=""wowo.woooooo""","=""18068045101628043""","=""@pinshitsai 你們老師有沒有要帶 @weixianglu @pumpkinfairy.0422""","=""https://www.instagram.com/wowo.woooooo""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/426395801_418029907272331_4334533042715366769_n.jpg""","=""10/16/2024, 5:31:26 PM"""
"=""38834350570""","=""weixianglu""","=""18021038744616344""","=""@wowo.woooooo 我們班有欸 全班帶去藝博🔥""","=""https://www.instagram.com/weixianglu""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/460875632_562664006297406_5164782387773138538_n.jpg""","=""10/16/2024, 6:22:19 PM"""
"=""38834350570""","=""weixianglu""","=""18129446299374904""","=""@pinshitsai @wowo.woooooo @yuki_0514_oh 一起抽抽 幫你增加競爭對手""","=""https://www.instagram.com/weixianglu""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/460875632_562664006297406_5164782387773138538_n.jpg""","=""10/16/2024, 6:23:48 PM"""
"=""9142281054""","=""estherlh2024""","=""17935447670924484""","=""@pin_boxes @hwh_jh15 @beatriceism 抽中me!""","=""https://www.instagram.com/estherlh2024""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/451240819_931435512330821_5006825721086019208_n.jpg""","=""10/16/2024, 7:36:26 PM"""
"=""49682199317""","=""hsieh.fuyu""","=""18077131897499890""","=""@eshan52 @cyc.2026 @ylc_0206 不一樣的藝術展""","=""https://www.instagram.com/hsieh.fuyu""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/365414158_305760125325728_2689314280217303977_n.jpg""","=""10/16/2024, 8:47:48 PM"""
"=""6821755972""","=""328._jhu""","=""18043514543041401""","=""@cyc_0104_ @jinyah_.511 @sb__0900 抽抽！""","=""https://www.instagram.com/328._jhu""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/456556595_972880257970366_3058339752472808727_n.jpg""","=""10/16/2024, 8:48:10 PM"""
"=""6821755972""","=""328._jhu""","=""17917450289901966""","=""@h.___.yt @_cchi.77 @sheshelley_0223 抽抽抽！""","=""https://www.instagram.com/328._jhu""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/456556595_972880257970366_3058339752472808727_n.jpg""","=""10/16/2024, 8:48:23 PM"""
"=""1467570123""","=""applecat68""","=""18137311393361650""","=""@de.aimer24 @ruby841219 @irwin724""","=""https://www.instagram.com/applecat68""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/450919790_1131227681284744_6184795763355602120_n.jpg""","=""10/16/2024, 8:54:22 PM"""
"=""4900064901""","=""ylc_0206""","=""17957196572831138""","=""@hsieh.fuyu 希望尼中獎！""","=""https://www.instagram.com/ylc_0206""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/106244571_661273344457552_3629450352803493806_n.jpg""","=""10/16/2024, 9:06:50 PM"""
"=""5888857702""","=""kumiiiii_0914""","=""17944886768902296""","=""@ale3.19 @shihfeng._ @weiru998 🏃‍♀️🏃🏃‍♂️""","=""https://www.instagram.com/kumiiiii_0914""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/458911750_3911012415802411_1778174482875571222_n.jpg""","=""10/16/2024, 9:13:23 PM"""
"=""65779305256""","=""ian06.07""","=""18329044906146264""","=""@_havl_j @ohh._an @1_world_1_people 抽一波""","=""https://www.instagram.com/ian06.07""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/460504140_918920880058087_8895500938486168095_n.jpg""","=""10/16/2024, 10:54:51 PM"""
"=""4479930676""","=""ttong110""","=""18094077478479257""","=""@tong_zhilin @jeeeeeeen___ @danielhsu.0622""","=""https://www.instagram.com/ttong110""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/448671738_454946014142401_4103473530873444492_n.jpg""","=""10/17/2024, 11:18:40 AM"""
"=""4479930676""","=""ttong110""","=""18036146621186020""","=""@yycc_bomb @tao__0514 @yuuuuu__lin3686""","=""https://www.instagram.com/ttong110""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/448671738_454946014142401_4103473530873444492_n.jpg""","=""10/17/2024, 11:19:04 AM"""
